,year,venue,url
96,2019,acl,https://www.aclweb.org/anthology/P19-1095.pdf
97,2019,acl,https://www.aclweb.org/anthology/P19-1096.pdf
98,2019,acl,https://www.aclweb.org/anthology/P19-1097.pdf
99,2019,acl,https://www.aclweb.org/anthology/P19-1098.pdf
100,2019,acl,https://www.aclweb.org/anthology/P19-1099.pdf
101,2019,acl,https://www.aclweb.org/anthology/P19-1100.pdf
102,2019,acl,https://www.aclweb.org/anthology/P19-1101.pdf
103,2019,acl,https://www.aclweb.org/anthology/P19-1102.pdf
104,2019,acl,https://www.aclweb.org/anthology/P19-1103.pdf
105,2019,acl,https://www.aclweb.org/anthology/P19-1104.pdf
106,2019,acl,https://www.aclweb.org/anthology/P19-1105.pdf
107,2019,acl,https://www.aclweb.org/anthology/P19-1106.pdf
108,2019,acl,https://www.aclweb.org/anthology/P19-1107.pdf
109,2019,acl,https://www.aclweb.org/anthology/P19-1108.pdf
110,2019,acl,https://www.aclweb.org/anthology/P19-1109.pdf
111,2019,acl,https://www.aclweb.org/anthology/P19-1110.pdf
112,2019,acl,https://www.aclweb.org/anthology/P19-1111.pdf
113,2019,acl,https://www.aclweb.org/anthology/P19-1112.pdf
114,2019,acl,https://www.aclweb.org/anthology/P19-1113.pdf
115,2019,acl,https://www.aclweb.org/anthology/P19-1114.pdf
116,2019,acl,https://www.aclweb.org/anthology/P19-1115.pdf
117,2019,acl,https://www.aclweb.org/anthology/P19-1116.pdf
118,2019,acl,https://www.aclweb.org/anthology/P19-1117.pdf
119,2019,acl,https://www.aclweb.org/anthology/P19-1118.pdf
120,2019,acl,https://www.aclweb.org/anthology/P19-1119.pdf
121,2019,acl,https://www.aclweb.org/anthology/P19-1120.pdf
122,2019,acl,https://www.aclweb.org/anthology/P19-1121.pdf
123,2019,acl,https://www.aclweb.org/anthology/P19-1122.pdf
124,2019,acl,https://www.aclweb.org/anthology/P19-1123.pdf
125,2019,acl,https://www.aclweb.org/anthology/P19-1124.pdf
126,2019,acl,https://www.aclweb.org/anthology/P19-1125.pdf
127,2019,acl,https://www.aclweb.org/anthology/P19-1126.pdf
128,2019,acl,https://www.aclweb.org/anthology/P19-1127.pdf
129,2019,acl,https://www.aclweb.org/anthology/P19-1128.pdf
130,2019,acl,https://www.aclweb.org/anthology/P19-1129.pdf
131,2019,acl,https://www.aclweb.org/anthology/P19-1130.pdf
132,2019,acl,https://www.aclweb.org/anthology/P19-1131.pdf
133,2019,acl,https://www.aclweb.org/anthology/P19-1132.pdf
134,2019,acl,https://www.aclweb.org/anthology/P19-1133.pdf
135,2019,acl,https://www.aclweb.org/anthology/P19-1134.pdf
136,2019,acl,https://www.aclweb.org/anthology/P19-1135.pdf
137,2019,acl,https://www.aclweb.org/anthology/P19-1136.pdf
138,2019,acl,https://www.aclweb.org/anthology/P19-1137.pdf
139,2019,acl,https://www.aclweb.org/anthology/P19-1138.pdf
140,2019,acl,https://www.aclweb.org/anthology/P19-1139.pdf
141,2019,acl,https://www.aclweb.org/anthology/P19-1140.pdf
142,2019,acl,https://www.aclweb.org/anthology/P19-1141.pdf
143,2019,acl,https://www.aclweb.org/anthology/P19-1142.pdf
144,2019,acl,https://www.aclweb.org/anthology/P19-1143.pdf
145,2019,acl,https://www.aclweb.org/anthology/P19-1144.pdf
146,2019,acl,https://www.aclweb.org/anthology/P19-1145.pdf
147,2019,acl,https://www.aclweb.org/anthology/P19-1146.pdf
148,2019,acl,https://www.aclweb.org/anthology/P19-1147.pdf
149,2019,acl,https://www.aclweb.org/anthology/P19-1148.pdf
150,2019,acl,https://www.aclweb.org/anthology/P19-1149.pdf
151,2019,acl,https://www.aclweb.org/anthology/P19-1150.pdf
152,2019,acl,https://www.aclweb.org/anthology/P19-1151.pdf
153,2019,acl,https://www.aclweb.org/anthology/P19-1152.pdf
154,2019,acl,https://www.aclweb.org/anthology/P19-1153.pdf
155,2019,acl,https://www.aclweb.org/anthology/P19-1154.pdf
156,2019,acl,https://www.aclweb.org/anthology/P19-1155.pdf
157,2019,acl,https://www.aclweb.org/anthology/P19-1156.pdf
158,2019,acl,https://www.aclweb.org/anthology/P19-1157.pdf
159,2019,acl,https://www.aclweb.org/anthology/P19-1158.pdf
160,2019,acl,https://www.aclweb.org/anthology/P19-1159.pdf
161,2019,acl,https://www.aclweb.org/anthology/P19-1160.pdf
162,2019,acl,https://www.aclweb.org/anthology/P19-1161.pdf
163,2019,acl,https://www.aclweb.org/anthology/P19-1162.pdf
164,2019,acl,https://www.aclweb.org/anthology/P19-1163.pdf
165,2019,acl,https://www.aclweb.org/anthology/P19-1164.pdf
166,2019,acl,https://www.aclweb.org/anthology/P19-1165.pdf
167,2019,acl,https://www.aclweb.org/anthology/P19-1166.pdf
168,2019,acl,https://www.aclweb.org/anthology/P19-1167.pdf
169,2019,acl,https://www.aclweb.org/anthology/P19-1168.pdf
170,2019,acl,https://www.aclweb.org/anthology/P19-1169.pdf
171,2019,acl,https://www.aclweb.org/anthology/P19-1170.pdf
172,2019,acl,https://www.aclweb.org/anthology/P19-1171.pdf
173,2019,acl,https://www.aclweb.org/anthology/P19-1172.pdf
174,2019,acl,https://www.aclweb.org/anthology/P19-1173.pdf
175,2019,acl,https://www.aclweb.org/anthology/P19-1174.pdf
176,2019,acl,https://www.aclweb.org/anthology/P19-1175.pdf
177,2019,acl,https://www.aclweb.org/anthology/P19-1176.pdf
178,2019,acl,https://www.aclweb.org/anthology/P19-1177.pdf
179,2019,acl,https://www.aclweb.org/anthology/P19-1178.pdf
180,2019,acl,https://www.aclweb.org/anthology/P19-1179.pdf
181,2019,acl,https://www.aclweb.org/anthology/P19-1180.pdf
182,2019,acl,https://www.aclweb.org/anthology/P19-1181.pdf
183,2019,acl,https://www.aclweb.org/anthology/P19-1182.pdf
184,2019,acl,https://www.aclweb.org/anthology/P19-1183.pdf
185,2019,acl,https://www.aclweb.org/anthology/P19-1184.pdf
186,2019,acl,https://www.aclweb.org/anthology/P19-1185.pdf
187,2019,acl,https://www.aclweb.org/anthology/P19-1186.pdf
188,2019,acl,https://www.aclweb.org/anthology/P19-1187.pdf
189,2019,acl,https://www.aclweb.org/anthology/P19-1188.pdf
190,2019,acl,https://www.aclweb.org/anthology/P19-1189.pdf
191,2019,acl,https://www.aclweb.org/anthology/P19-1190.pdf
192,2019,acl,https://www.aclweb.org/anthology/P19-1191.pdf
193,2019,acl,https://www.aclweb.org/anthology/P19-1192.pdf
194,2019,acl,https://www.aclweb.org/anthology/P19-1193.pdf
195,2019,acl,https://www.aclweb.org/anthology/P19-1194.pdf
196,2019,acl,https://www.aclweb.org/anthology/P19-1195.pdf
197,2019,acl,https://www.aclweb.org/anthology/P19-1196.pdf
198,2019,acl,https://www.aclweb.org/anthology/P19-1197.pdf
199,2019,acl,https://www.aclweb.org/anthology/P19-1198.pdf
200,2019,acl,https://www.aclweb.org/anthology/P19-1199.pdf
201,2019,acl,https://www.aclweb.org/anthology/P19-1200.pdf
202,2019,acl,https://www.aclweb.org/anthology/P19-1201.pdf
203,2019,acl,https://www.aclweb.org/anthology/P19-1202.pdf
204,2019,acl,https://www.aclweb.org/anthology/P19-1203.pdf
205,2019,acl,https://www.aclweb.org/anthology/P19-1204.pdf
206,2019,acl,https://www.aclweb.org/anthology/P19-1205.pdf
